V,Si,So,TSi,TSo,Ni,No,TKNi,TKNo,M,DO,i,Sig/TS,Sig,Q,Th_c,Th,dS,dTS,dN,TKN,Thn,Th_cn
3078,210,34,242,18,44,11,80,22,2670,1.72,40,0.61,147,1544.59,14.06,9.13,176,224,33,58,2.2825,18.16485902
2979,244,40,301,26,54,13,105,27,2563,2.27,54,0.6,180,1708.97,8.2,9.16,204,275,41,78,2.29,11.1900265
3114,252,40,293,23,55,14,109,28,2590,2.4,55,0.61,178,1775.14,8.26,9.18,212,270,41,81,2.295,11.11617884
3123,232,38,274,23,46,11,89,23,2542,1.9,42,0.61,167,1678.16,9.7,9.2,194,251,35,66,2.3,11.85918681
3087,267,44,317,22,52,12,106,27,2549,2.19,51,0.65,207,1573.78,9.02,9.18,223,295,40,79,2.295,10.83208225
3042,217,35,241,16,48,11,98,26,2555,1.84,43,0.59,143,1752.25,12.58,9.12,182,225,37,72,2.28,17.15834808
2997,226,38,255,19,47,10,83,21,2526,1.96,43,0.62,159,1560.4,12.32,9.13,188,236,37,62,2.2825,15.79841274
2943,229,37,283,20,45,11,86,22,2524,2.05,46,0.63,177,1686.79,10.33,9.21,192,263,34,64,2.3025,12.51672418
2943,249,41,280,18,53,13,92,24,2453,2.06,48,0.59,167,1627.56,10.75,9.2,208,262,40,68,2.3,14.10906766
3024,253,41,314,29,50,12,93,24,2696,2.03,48,0.63,197,1586.44,8.82,9.19,212,285,38,69,2.2975,10.74809255
3024,261,44,314,21,57,13,114,30,2604,2.52,57,0.64,201,1600.38,8.61,9.16,217,293,44,84,2.29,11.59446807
2898,248,41,274,25,49,11,94,24,2427,2.1,50,0.64,176,1449.18,7.88,9.21,207,249,38,70,2.3025,9.600281021
2952,200,34,237,15,46,11,96,24,2436,1.7,39,0.62,148,1660.87,9.7,9.13,166,222,35,72,2.2825,13.7566567
2952,214,34,257,20,42,11,77,21,2408,1.88,43,0.64,165,1495.95,9.72,9.14,180,237,31,56,2.285,11.76291913
3078,231,39,279,16,45,12,87,23,2463,1.94,47,0.63,175,1747.66,10.33,9.21,192,263,33,64,2.3025,12.40835427
2979,206,34,252,19,39,9,78,20,2514,1.76,38,0.64,162,1500.19,11.08,9.15,172,233,30,58,2.2875,12.93452475
3087,201,34,245,23,41,10,78,20,2671,1.63,38,0.66,162,1782.24,14.23,9.14,167,222,31,58,2.285,17.89806284
2943,263,43,297,24,57,12,114,29,2499,2.12,48,0.62,184,1470.16,10.55,9.13,220,273,45,85,2.2825,14.09888915
2943,225,35,250,20,48,12,86,22,2666,1.84,44,0.65,164,1470.19,10.2,9.22,190,230,36,64,2.305,13.41751904
3042,265,43,308,21,48,11,84,22,2588,2.21,50,0.62,192,1510.75,7.63,9.18,222,287,37,62,2.295,8.521837149
3114,201,33,229,18,45,10,81,21,2613,1.77,42,0.63,145,1685.33,12.28,9.22,168,211,35,60,2.305,16.95228138
3069,228,36,271,16,48,12,94,25,2655,1.93,44,0.6,162,1696.67,11.1,9.2,192,255,36,69,2.3,14.40929386
3078,205,34,235,19,42,10,78,21,2669,1.73,42,0.6,141,1738.75,11.98,9.13,171,216,32,57,2.2825,15.13441284
3087,269,43,297,22,53,13,105,26,2597,2.58,57,0.63,187,1690.75,8.67,9.2,226,275,40,79,2.3,10.53309537
2898,229,38,268,26,43,11,82,21,2517,2.16,52,0.6,160,1578.23,12.07,9.17,191,242,32,61,2.2925,13.97505651
2961,249,39,282,18,50,11,92,24,2588,2,45,0.66,185,1554.71,8.08,9.19,210,264,39,68,2.2975,10.00449905
2898,219,36,244,21,43,10,81,21,2443,2.05,48,0.62,151,1649.67,11.33,9.19,183,223,33,60,2.2975,13.71726662
2934,234,38,271,21,48,11,89,24,2472,2.28,51,0.62,169,1542.62,8.92,9.13,196,250,37,65,2.2825,11.28245379
3141,212,36,251,18,39,10,77,20,2654,1.82,42,0.59,149,1708.5,11.73,9.22,176,233,29,57,2.305,13.30577231
3051,252,40,279,16,60,14,124,32,2564,2.29,53,0.66,184,1656.72,8.76,9.19,212,263,46,92,2.2975,12.86080475
3096,200,33,245,17,43,11,75,19,2409,1.72,41,0.61,151,1758.13,11.03,9.21,167,228,32,56,2.3025,14.62269096
2898,227,37,261,19,49,13,107,28,2566,1.83,43,0.61,159,1483.43,9.36,9.14,190,242,36,79,2.285,12.45831768
2979,217,36,258,19,45,10,93,24,2544,2.05,46,0.66,170,1651.5,9.05,9.22,181,239,35,69,2.305,11.57216689
3024,220,37,242,20,43,11,81,21,2528,1.79,42,0.63,153,1553.02,11.66,9.21,183,222,32,60,2.3025,14.05263139
2970,250,40,280,23,45,11,98,25,2666,2.08,49,0.64,181,1692.46,10.15,9.14,210,257,34,73,2.285,11.26553644
3024,243,41,294,23,48,12,86,22,2581,2.11,47,0.62,182,1598.61,10.03,9.12,202,271,36,64,2.28,12.21656826
3087,201,33,243,22,36,10,74,19,2495,1.86,42,0.62,150,1710.54,13.17,9.22,168,221,26,55,2.305,14.54472611
3087,210,34,247,22,45,11,88,23,2484,2.03,46,0.61,150,1640.35,10.7,9.21,176,225,34,65,2.3025,14.13807646
2943,253,41,292,23,53,13,106,27,2489,2.15,48,0.65,189,1601.66,10.44,9.13,212,269,40,79,2.2825,13.48556592
2997,246,41,284,23,57,14,111,28,2474,1.98,44,0.61,173,1637.2,9.88,9.14,205,261,43,83,2.285,14.11594711
2880,249,43,278,16,45,11,84,22,2500,1.97,46,0.65,182,1555.68,11.65,9.24,206,262,34,62,2.31,12.98232333
3078,267,45,316,23,55,13,107,27,2451,2.23,50,0.63,199,1639.52,8.52,9.19,222,293,42,80,2.2975,10.82192082
3042,268,42,320,20,50,13,87,22,2637,2.61,61,0.61,194,1542.28,9.64,9.14,226,300,37,65,2.285,11.08984748
3069,253,41,311,23,56,13,103,26,2500,2.11,48,0.61,188,1572.56,9.6,9.18,212,288,43,77,2.295,13.10243664
3006,231,38,255,21,45,11,87,23,2457,1.95,43,0.62,157,1675.89,11.38,9.13,193,234,34,64,2.2825,13.66961003
3042,202,32,239,13,41,10,80,20,2645,1.71,42,0.63,150,1620.07,12.1,9.15,170,226,31,60,2.2875,15.14367173
3015,204,34,249,18,40,9,86,22,2466,1.81,42,0.64,160,1603.31,12.65,9.21,170,231,31,64,2.3025,15.29444347
2889,206,35,235,19,41,10,78,20,2629,1.7,37,0.59,139,1448.25,13.92,9.24,171,216,31,58,2.31,17.08319904
3060,241,39,280,21,42,11,86,22,2457,2.04,48,0.59,165,1605.77,8.51,9.19,202,259,31,64,2.2975,9.144819486
3015,213,35,247,20,47,11,89,24,2682,1.91,44,0.64,158,1649.27,11.78,9.12,178,227,36,65,2.28,16.02790923
2943,268,44,306,24,56,13,106,28,2471,2.51,59,0.63,194,1483.62,10.35,9.19,224,282,43,78,2.2975,13.33542656
3006,234,39,284,18,44,10,82,22,2529,2.08,46,0.65,186,1596.6,11.57,9.17,195,266,34,60,2.2925,13.41477854
3024,253,41,280,17,52,12,98,25,2554,2.17,51,0.62,174,1517.17,8.04,9.14,212,263,40,73,2.285,10.18948421
2907,223,38,248,22,45,12,96,26,2692,2.17,51,0.61,151,1572.12,11.74,9.14,185,226,33,70,2.285,14.60794338
2943,238,40,289,22,45,11,82,21,2433,2.12,51,0.61,176,1678.95,8.57,9.13,198,267,34,61,2.2825,9.991477343
2925,200,33,218,17,38,10,69,18,2410,1.82,43,0.61,134,1632.64,9.81,9.2,167,201,28,51,2.3,11.49306698
2961,262,41,293,22,51,13,95,24,2524,2.23,50,0.62,182,1696.24,8.32,9.17,221,271,38,71,2.2925,9.986321424
2979,251,42,307,22,56,13,108,27,2681,2.24,52,0.62,189,1545.09,10.4,9.16,209,285,43,81,2.29,14.3074084
3078,231,39,262,21,44,11,90,23,2683,2.13,49,0.62,162,1728.4,12.86,9.15,192,241,33,67,2.2875,15.10410494
3123,212,36,256,20,38,10,74,19,2466,1.78,39,0.64,164,1623.18,9.84,9.19,176,236,28,55,2.2975,10.87567356
2934,269,44,322,24,64,14,115,31,2594,2.28,52,0.64,206,1534.62,8.83,9.18,225,298,50,84,2.295,12.9539354
2970,244,39,282,23,53,12,104,27,2695,2.19,52,0.61,172,1630.9,10.39,9.22,205,259,41,77,2.305,13.91601602
3114,256,41,298,23,47,12,99,26,2582,2.29,55,0.63,188,1779.42,10.21,9.15,215,275,35,73,2.2875,11.55837988
3006,262,42,312,21,52,13,105,28,2508,2.15,50,0.6,187,1705.86,7.57,9.22,220,291,39,77,2.305,9.264271223
3123,211,35,250,17,42,10,80,20,2664,1.82,43,0.6,149,1586.26,11.42,9.17,176,233,32,60,2.2925,14.01671582
2889,217,35,263,23,44,11,84,21,2698,1.76,41,0.59,155,1463.2,9.86,9.24,182,240,33,63,2.31,12.32773207
2943,243,40,284,19,53,12,97,25,2445,2.11,48,0.65,185,1605.14,9.59,9.15,203,265,41,72,2.2875,12.89738109
3006,218,35,268,20,50,12,102,27,2569,1.76,42,0.61,162,1695.92,12.4,9.23,183,248,38,75,2.3075,17.53672635
2925,233,38,283,18,52,12,91,23,2568,1.91,45,0.59,168,1489.73,9.67,9.14,195,265,40,68,2.285,13.3072166
3024,255,41,281,18,53,12,101,26,2475,2.51,59,0.61,173,1631.87,9.87,9.21,214,263,41,75,2.3025,12.64929063
2889,230,37,285,18,55,12,103,27,2570,2.26,52,0.65,184,1524.33,12.11,9.14,193,267,43,76,2.285,17.85633503
3123,242,39,285,25,46,11,89,23,2454,2.2,49,0.65,186,1760.19,8.18,9.15,203,260,35,66,2.2875,9.58758216
2934,205,33,230,17,42,9,83,22,2606,1.65,39,0.66,151,1607.18,10.43,9.2,172,213,33,61,2.3,13.17628764
3087,263,43,316,25,57,14,116,29,2697,2.55,60,0.6,190,1571.85,9.9,9.19,220,291,43,87,2.2975,13.23023721
2979,267,44,295,21,58,13,111,28,2548,2.38,54,0.66,194,1615.32,10.22,9.16,223,274,45,83,2.29,13.68929105
2916,217,37,263,21,46,12,89,24,2482,2.1,50,0.61,160,1686.46,11.65,9.13,180,242,34,65,2.2825,15.2278066
3015,225,38,255,18,51,12,92,23,2558,1.84,42,0.66,168,1573.83,11.02,9.15,187,237,39,69,2.2875,15.40219373
2898,201,34,234,20,41,10,71,18,2602,1.93,47,0.61,144,1566.55,13.84,9.19,167,214,31,53,2.2975,17.40753266
3060,214,36,246,17,51,12,98,25,2436,2.01,47,0.61,150,1575.79,8.83,9.23,178,229,39,73,2.3075,12.97568923
3132,269,44,331,22,53,13,104,26,2676,2.27,51,0.62,204,1793.82,11.06,9.18,225,309,40,78,2.295,13.43668221
3141,260,42,315,27,57,13,122,31,2489,2.39,55,0.66,207,1620.58,7.32,9.21,218,288,44,91,2.3025,9.895230566
3123,201,32,226,15,44,10,84,21,2642,1.87,42,0.61,139,1661.9,11.21,9.2,169,211,34,63,2.3,15.13127627
2970,260,41,287,26,54,12,105,27,2465,2.2,49,0.61,175,1705.86,10.69,9.15,219,261,42,78,2.2875,13.69025212
3060,232,39,283,22,46,11,89,24,2464,2.01,46,0.6,169,1643.9,8.94,9.16,193,261,35,65,2.29,10.93001341
3123,260,41,290,22,55,13,107,28,2479,2.28,54,0.62,181,1721.04,10.04,9.19,219,268,42,79,2.2975,13.09593116
2880,240,39,296,21,49,11,105,26,2598,2.19,49,0.6,176,1428.64,9.39,9.19,201,275,38,79,2.2975,11.82125974
2907,226,35,262,18,49,11,92,23,2632,1.92,43,0.63,165,1480.54,9.69,9.14,191,244,38,69,2.285,12.95462206
3096,231,37,282,19,51,11,106,26,2534,1.85,44,0.63,178,1645.36,9.78,9.17,194,263,40,80,2.2925,13.31405603
2952,229,37,253,22,48,11,96,24,2554,1.88,43,0.6,152,1522.91,12.74,9.21,192,231,37,72,2.3025,16.46601521
3141,218,34,258,21,42,10,82,21,2687,2.13,47,0.63,163,1747.6,9.98,9.19,184,237,32,61,2.2975,11.85595842
2961,214,35,252,20,46,11,90,24,2578,1.78,39,0.64,161,1551.01,9.33,9.16,179,232,35,66,2.29,12.36627874
2925,261,42,304,25,58,13,114,29,2443,2.53,59,0.63,193,1651.29,10.49,9.22,219,279,45,85,2.305,14.37395575
2925,268,42,326,24,59,14,103,27,2406,2.46,57,0.64,210,1641.2,7.78,9.15,226,302,45,76,2.2875,10.56112405
3123,209,34,235,20,46,11,88,23,2408,2.01,46,0.63,147,1625.01,9.44,9.13,175,215,35,65,2.2825,12.8114082
2988,257,42,314,26,52,12,108,27,2586,2.22,52,0.62,196,1481.4,8.49,9.2,215,288,40,81,2.3,10.59232359
2907,255,43,303,18,53,12,92,24,2700,2.26,52,0.6,183,1577.72,12.06,9.15,212,285,41,68,2.2875,15.45597214
3069,221,36,253,20,41,11,84,22,2679,2.02,48,0.62,158,1720.67,11.26,9.2,185,233,30,62,2.3,12.88081382
3033,221,37,249,19,40,10,76,20,2455,1.92,42,0.63,157,1539.7,9.2,9.17,184,230,30,56,2.2925,10.26759841
2889,200,33,232,20,45,11,89,22,2657,1.73,42,0.65,151,1628.25,12.68,9.24,167,212,34,67,2.31,17.59199532
3078,213,34,241,20,42,10,77,20,2471,1.77,43,0.64,154,1627.43,8.85,9.21,179,221,32,57,2.3025,10.76034725
3006,251,41,278,20,51,12,106,27,2627,2.22,50,0.63,177,1606.21,8.42,9.21,210,258,39,79,2.3025,10.54925707
3015,230,37,281,21,51,12,92,23,2679,2.21,53,0.61,170,1567.92,10.26,9.18,193,260,39,69,2.295,14.02823492
2997,212,33,254,20,48,11,84,22,2417,2.1,47,0.64,162,1505.52,8.8,9.17,179,234,37,62,2.2925,12.28574163
2979,206,33,255,23,47,11,94,24,2544,1.84,40,0.59,152,1556.64,12.36,9.18,173,232,36,70,2.295,17.38851273
2961,236,39,272,21,48,12,87,22,2500,2.29,53,0.65,177,1592.87,8.72,9.23,197,251,36,65,2.3075,10.93601378
2988,209,36,235,20,45,11,88,23,2563,1.83,43,0.62,145,1646.67,10.86,9.23,173,215,34,65,2.3075,14.41814478
2988,231,38,254,17,44,10,96,24,2443,1.91,44,0.6,152,1649.37,9.35,9.17,193,237,34,72,2.2925,10.98160041
2952,246,40,271,19,51,12,103,26,2698,2.33,55,0.63,172,1468.98,10.57,9.16,206,252,39,77,2.29,13.51211664
2961,223,36,265,16,45,12,86,23,2599,2.11,49,0.65,173,1695.21,9.69,9.22,187,249,33,63,2.305,12.05715259
2880,218,36,239,18,45,11,79,21,2491,1.84,42,0.64,154,1464.53,11.47,9.15,182,221,34,58,2.2875,14.59932469
3141,219,36,256,19,42,10,76,20,2615,1.81,43,0.66,169,1716.86,9.44,9.18,183,237,32,56,2.295,11.1632461
2898,222,38,249,22,47,12,92,24,2425,2,46,0.63,156,1558.95,9.68,9.19,184,227,35,68,2.2975,12.63669694
2916,231,40,255,21,54,12,109,28,2444,1.88,44,0.64,163,1677.54,8.85,9.18,191,234,42,81,2.295,12.7567011
2916,215,33,250,16,42,11,78,21,2593,1.84,42,0.64,159,1565.3,12.95,9.16,182,234,31,57,2.29,15.59889836
2970,256,42,312,23,51,12,94,24,2629,2.18,48,0.61,190,1659.17,8.72,9.15,214,289,39,70,2.2875,10.71174006
2997,249,39,283,16,48,12,94,23,2525,2.16,49,0.59,167,1615.63,8.69,9.13,210,267,36,71,2.2825,10.32939763
2880,265,43,300,22,51,13,89,23,2496,2.17,50,0.61,183,1566.95,8.22,9.13,222,278,38,66,2.2825,9.754599633
2979,265,42,320,27,55,14,105,27,2557,2.45,57,0.62,199,1656.36,10.67,9.15,223,293,41,78,2.2875,13.65508992
3078,252,41,303,20,59,14,103,26,2540,2.09,47,0.64,194,1753.55,11.13,9.23,211,283,45,77,2.3075,16.06793124
2979,218,36,265,22,44,11,95,24,2612,1.77,40,0.65,172,1509.85,10.78,9.14,182,243,33,71,2.285,13.41616136
3015,216,36,262,24,46,11,91,23,2560,2.09,50,0.64,166,1510.65,9.1,9.15,180,238,35,68,2.2875,11.94974952
3060,211,35,233,19,36,9,68,17,2674,2.01,45,0.61,141,1705.39,11.65,9.21,176,214,27,51,2.3025,12.25629767
3141,215,36,238,20,44,11,84,22,2605,1.9,45,0.61,145,1768.28,9.76,9.16,179,218,33,62,2.29,12.31621789
3132,226,37,249,20,45,11,90,23,2624,1.95,46,0.62,155,1699.55,9.98,9.2,189,229,34,67,2.3,12.2531555
3069,266,44,327,23,56,14,109,27,2607,2.41,56,0.63,206,1690.78,8,9.19,222,304,42,82,2.2975,10.38507666
3105,222,34,247,15,41,10,85,21,2486,1.83,44,0.6,148,1635.95,10.69,9.16,188,232,31,64,2.29,12.17368098
3123,227,37,271,17,50,12,95,26,2626,2.12,49,0.65,177,1713.07,12.59,9.14,190,254,38,69,2.285,17.09949193
3051,225,38,265,20,43,10,84,22,2695,2,47,0.64,171,1661.16,9.81,9.12,187,245,33,62,2.28,11.56027789
3060,262,42,313,21,52,13,91,24,2508,2.19,52,0.6,187,1603.8,8.13,9.2,220,292,39,67,2.3,9.949607007
2934,228,37,272,21,45,11,87,22,2457,2.15,49,0.61,167,1681.47,10.82,9.13,191,251,34,65,2.2825,13.16795267
3132,258,43,295,28,48,12,89,23,2556,2.13,49,0.6,177,1640.31,10.01,9.21,215,267,36,66,2.3025,11.48335889
2943,232,39,278,22,52,12,103,27,2427,2.21,52,0.59,164,1648.51,10.47,9.21,193,256,40,76,2.3025,14.47022785
3105,208,35,256,18,49,11,98,25,2692,1.82,40,0.61,158,1585.34,10.81,9.21,173,238,38,73,2.3025,15.70260725
2907,222,36,254,23,47,11,83,22,2417,1.87,43,0.64,162,1581.84,8.78,9.13,186,231,36,61,2.2825,11.46179743
2979,209,34,249,19,44,10,90,22,2626,1.77,39,0.64,160,1687.72,14.25,9.15,175,230,34,68,2.2875,18.4984178
3060,227,36,267,25,48,11,100,25,2688,1.82,44,0.59,159,1523.92,10.17,9.2,191,242,37,75,2.3,13.26018742
3105,237,39,275,21,50,11,93,25,2576,2.16,48,0.59,163,1697.1,9.09,9.13,198,254,39,68,2.2825,11.82493796
3096,213,34,262,19,45,10,93,23,2431,1.97,44,0.59,156,1560.02,10.49,9.14,179,243,35,70,2.285,13.66538047
2970,248,41,294,22,53,13,96,26,2451,2.1,49,0.61,179,1505.22,8.02,9.14,207,272,40,70,2.285,10.56846434
3051,215,37,262,18,43,11,84,22,2564,1.77,41,0.62,162,1610.94,10.22,9.13,178,244,32,62,2.2825,12.60358866
2916,269,42,317,21,63,14,116,29,2504,2.35,54,0.65,206,1538.73,7.51,9.14,227,296,49,87,2.285,10.84529915
2997,268,45,308,27,49,12,97,25,2558,2.32,55,0.61,188,1686.55,8.6,9.13,223,281,37,72,2.2825,9.695563755
3105,269,44,330,28,63,15,121,31,2461,2.4,53,0.59,195,1749.28,9.36,9.2,225,302,48,90,2.3,13.51691079
2889,257,42,307,28,49,11,101,25,2501,2.26,53,0.62,190,1508.15,11.04,9.24,215,279,38,76,2.31,12.97912333
3078,268,44,323,27,51,12,87,22,2619,2.19,51,0.61,196,1544.96,8.06,9.18,224,296,39,65,2.295,9.457661218
3105,242,39,271,22,55,13,102,26,2512,2.29,53,0.62,169,1642.01,9.83,9.21,203,249,42,76,2.3025,13.77571568
2997,221,37,258,20,40,10,72,19,2454,1.97,46,0.63,161,1511.36,12.67,9.18,184,238,30,53,2.295,14.14026869
2979,259,42,310,24,57,13,120,30,2433,2.54,58,0.6,185,1696.75,10.38,9.18,217,286,44,90,2.295,14.08593806
2970,203,35,234,20,43,11,88,24,2519,1.78,42,0.61,143,1615.34,10.2,9.22,168,214,32,64,2.305,13.32250582
3141,217,36,239,15,43,11,92,24,2454,1.93,44,0.66,158,1683.99,10.47,9.18,181,224,32,68,2.295,12.79289198
2880,245,40,295,19,50,12,91,23,2644,2.33,55,0.61,179,1634.99,12.11,9.22,205,276,38,68,2.305,15.23917276
2997,225,36,245,20,53,13,106,27,2483,1.84,43,0.59,145,1505.5,10.83,9.17,189,225,40,79,2.2925,15.73023234
3114,261,42,304,21,51,12,103,26,2574,2.53,59,0.65,199,1716.25,9.25,9.14,219,283,39,77,2.285,11.14511953
3141,239,40,281,16,51,12,95,24,2620,2.21,51,0.64,181,1803.36,9.69,9.15,199,265,39,71,2.2875,12.74997642
3123,214,36,246,22,45,11,89,23,2523,1.8,42,0.6,148,1637.33,10.18,9.15,178,224,34,66,2.2875,13.19957195
3078,217,34,243,20,48,11,87,22,2455,1.86,42,0.62,151,1651.45,10.16,9.21,183,223,37,65,2.3025,13.85761658
2916,208,36,253,21,44,11,89,23,2479,1.71,40,0.65,165,1653.67,13.28,9.23,172,232,33,66,2.3075,17.32210815
3051,238,38,264,23,51,12,102,25,2427,2.31,55,0.62,163,1748.66,7.78,9.17,200,241,39,77,2.2925,10.27983503
3015,258,42,309,26,50,11,91,23,2445,2.09,48,0.65,200,1678.31,9.47,9.18,216,283,39,68,2.295,11.31653854
3141,234,39,263,23,48,12,93,24,2610,2.02,47,0.61,160,1596.07,9.79,9.21,195,240,36,69,2.3025,12.38287249
3069,236,39,279,22,56,13,116,30,2610,2.01,47,0.65,182,1596.62,8.56,9.18,197,257,43,86,2.295,12.52457847
2916,269,45,317,21,52,12,97,25,2638,2.28,50,0.64,201,1668.77,7.94,9.23,224,296,40,72,2.3075,9.464221487
2889,242,39,282,26,47,12,84,21,2581,2.16,47,0.61,170,1493.25,11.75,9.24,203,256,35,63,2.31,14.07128268
3060,224,37,266,20,46,11,85,22,2401,1.95,46,0.64,169,1682.3,9.12,9.12,187,246,35,63,2.28,11.54829797
2880,219,36,246,19,52,12,106,27,2698,1.88,44,0.64,158,1549.03,12.4,9.19,183,227,40,79,2.2975,18.15491597
3060,222,35,254,20,45,11,82,21,2485,2.15,50,0.65,166,1734.32,9.52,9.15,187,234,34,61,2.2875,11.89898226
3015,225,37,278,16,51,11,99,26,2515,2,47,0.65,180,1696.8,9.95,9.12,188,262,40,73,2.28,13.90669942
2943,255,41,297,21,52,12,97,24,2605,2.23,50,0.59,176,1485.51,8.46,9.22,214,276,40,73,2.305,10.63767838
3006,221,38,258,18,46,11,86,22,2428,2,45,0.63,164,1679.49,9.95,9.15,183,240,35,64,2.2875,12.77032553
3114,219,37,251,23,42,9,77,19,2558,2.01,46,0.6,150,1569.09,10.33,9.14,182,228,33,58,2.285,12.21571316
3123,222,37,260,18,47,11,99,25,2485,1.86,44,0.62,162,1766.18,10.53,9.17,185,242,36,74,2.2925,13.74632425
2934,232,39,284,24,47,12,89,23,2653,1.97,43,0.6,169,1555.71,11.19,9.19,193,260,35,66,2.2975,13.97826562
3006,239,39,269,20,50,11,94,24,2619,2.25,54,0.63,170,1555.3,11.86,9.14,200,249,39,70,2.285,15.29924931
3132,224,36,276,19,48,12,95,24,2600,1.81,42,0.61,169,1713.77,9.18,9.21,188,257,36,71,2.3025,12.12967681
2988,235,38,287,22,44,11,87,23,2666,2.26,50,0.65,187,1721.93,8.93,9.16,197,265,33,64,2.29,10.30978485
3015,260,43,296,26,49,12,96,25,2520,2.21,50,0.63,186,1581.82,7.93,9.15,217,270,37,71,2.2875,9.215295132
3006,200,34,222,15,36,9,75,19,2622,1.84,44,0.6,133,1577.09,11.87,9.15,166,207,27,56,2.2875,13.17457315
3105,267,44,320,28,50,13,92,23,2594,2.6,59,0.59,190,1759.62,7.5,9.19,223,292,37,69,2.2975,8.660307957
2979,227,38,252,22,41,10,78,20,2587,1.86,42,0.6,152,1582.28,11.01,9.13,189,230,31,58,2.2825,12.26192478
3132,260,41,304,22,52,12,98,26,2422,2.13,50,0.59,181,1668.8,9.68,9.14,219,282,40,72,2.285,11.93764562
2925,213,34,244,19,45,10,93,23,2516,1.82,43,0.6,146,1581.42,12.76,9.19,179,225,35,70,2.2975,16.62252191
2889,210,34,254,22,48,11,99,26,2616,1.69,39,0.64,163,1627.21,12.53,9.2,176,232,37,73,2.3,17.65982286
2889,205,33,237,18,48,11,103,26,2644,1.89,43,0.59,141,1467.15,10.8,9.21,172,219,37,77,2.3025,15.59281266
3141,209,34,237,16,41,9,79,21,2445,1.8,41,0.61,145,1698.37,9.7,9.14,175,221,32,58,2.285,11.73336644
3141,243,40,265,22,47,11,94,25,2485,2.26,51,0.59,157,1638.92,10.26,9.2,203,243,36,69,2.3,12.23636081
3015,241,38,284,22,51,12,87,22,2496,2.03,45,0.62,175,1704.78,10.7,9.12,203,262,39,65,2.28,13.96208381
3015,224,35,252,18,48,12,86,23,2590,2.15,49,0.63,159,1661.93,9.97,9.23,189,234,36,63,2.3075,13.1735161
3033,268,44,301,19,51,12,111,28,2588,2.22,50,0.65,195,1607.19,9.08,9.19,224,282,39,83,2.2975,10.65453646
3114,218,36,253,20,48,11,98,26,2554,2.11,48,0.6,152,1707.92,11.01,9.19,182,233,37,72,2.2975,14.94807926
2898,268,42,322,28,54,14,107,27,2436,2.34,55,0.61,197,1464.16,8.98,9.21,226,294,40,80,2.3025,11.15703079
3105,214,35,240,18,46,11,86,22,2426,1.93,46,0.6,144,1737.03,11.2,9.22,179,222,35,64,2.305,14.84483621
3132,209,34,246,19,44,11,90,22,2611,2.02,48,0.65,160,1748.58,9.63,9.2,175,227,33,68,2.3,12.50103603
2907,224,35,251,22,46,10,92,24,2614,2.02,44,0.65,163,1472.74,12.03,9.19,189,229,36,68,2.2975,15.23311673
2997,244,41,296,20,51,13,98,26,2427,2.24,52,0.64,190,1513.48,10.33,9.22,203,276,38,72,2.305,13.31355389
3051,263,43,292,19,53,12,105,27,2408,2.2,48,0.62,181,1569.06,9.14,9.19,220,273,41,78,2.2975,11.35741895
3015,207,34,240,23,41,10,80,21,2599,1.67,39,0.64,154,1552.06,11.93,9.14,173,217,31,59,2.285,14.57025941
2934,240,41,270,25,46,12,88,22,2550,2.16,50,0.6,163,1597.42,8.41,9.21,199,245,34,66,2.3025,9.939302651
2889,245,39,269,20,44,11,83,22,2596,2,45,0.65,175,1486.02,11.65,9.19,206,249,33,61,2.2975,12.90107342
3105,244,41,285,18,56,13,109,27,2586,2.16,48,0.62,177,1615.57,10.99,9.18,203,267,43,82,2.295,15.55282274
3105,264,45,300,19,48,11,91,23,2511,2.16,51,0.61,182,1701,8.66,9.16,219,281,37,68,2.29,9.708866552
3060,223,38,272,22,44,11,85,21,2594,1.78,42,0.59,162,1695.72,9.41,9.18,185,250,33,64,2.295,11.44855741
2880,201,32,227,17,35,8,71,19,2504,1.74,41,0.63,142,1612.49,14.03,9.22,169,210,27,52,2.305,15.06409297
2934,238,38,270,24,48,11,102,25,2643,2.27,55,0.61,164,1658.37,11.21,9.13,200,246,37,77,2.2825,13.94065637
3006,210,35,244,18,47,12,97,26,2465,1.98,45,0.64,157,1684.5,9.09,9.21,175,226,35,71,2.3025,12.5445699
3060,202,35,247,18,47,12,87,22,2504,1.63,38,0.6,147,1678.02,13.07,9.15,167,229,35,65,2.2875,18.75147371
3114,211,35,230,16,46,12,89,23,2694,1.94,44,0.61,141,1791.37,12.9,9.18,176,214,34,66,2.295,17.34117081
2943,227,37,273,19,50,11,88,23,2494,1.91,44,0.61,166,1608.74,11.84,9.18,190,254,39,65,2.295,16.08085659
2925,233,38,256,18,52,12,92,24,2685,1.86,41,0.63,161,1614.05,8.88,9.18,195,238,40,68,2.295,12.22007067
2988,218,36,242,17,41,10,79,20,2684,2.01,45,0.66,160,1522.36,9.61,9.14,182,225,31,59,2.285,11.1445896
3015,211,36,239,20,44,11,86,22,2670,2,46,0.64,152,1581.82,13.69,9.15,175,219,33,64,2.2875,17.60301255
2952,207,33,254,18,47,11,85,22,2680,1.69,40,0.62,158,1661,14.42,9.13,174,236,36,63,2.2825,20.18859529
2961,269,45,313,25,59,13,109,28,2626,2.29,50,0.63,196,1523.81,9.77,9.19,224,288,46,81,2.2975,13.21318832
